,Time,X_m,Y_m
167,15.568078994750977,0.0497652950314154,1.184386934342878
168,15.661381483078005,0.0841798305425436,1.0807375087882785
169,15.74192762374878,0.1232836116095123,0.935210241921963
170,15.838842391967772,0.1809209837684322,0.7905140491106125
171,15.9341402053833,0.2357932756124469,0.6655092432771409
172,16.030590295791626,0.2526615202632917,0.543371495318013
173,16.109954118728638,0.2818480144280603,0.4030843250463382
174,16.204736709594727,0.3280481542994712,0.262468587752637
175,16.301636695861816,0.3572720443364584,0.1087912349719284
176,16.39951729774475,0.3582797646825614,0.0377469505716665
177,16.483293056488037,0.3590016034265717,0.0
178,16.545124530792236,0.363353548056019,0.0023497893128979
179,16.638874292373657,0.3669403534578344,0.0304313830688899
180,16.734731435775757,0.371172729706372,0.0689491314541161
181,16.817199230194092,0.3786551024812818,0.1381738114403699
182,16.91260075569153,0.3582797646825614,0.266499469137049
183,17.00777530670166,0.3225261125103398,0.4099398249106352
184,17.102967262268066,0.3058866715513592,0.53828184330141
185,17.182039260864258,0.2696003742254968,0.6494332006561916
186,17.277554273605347,0.2249381395990785,0.7855157955580175
187,17.370541095733643,0.2010315981559205,0.9001434928762844
188,17.468866109848022,0.1700139363798129,1.008181643868862
189,17.549700498580933,0.1728592209996082,1.0746911867116604
190,17.646440505981445,0.1632684099028959,1.14488409995526
191,17.775891065597534,0.1647974582307841,1.2077102723972573
192,17.870089292526245,0.1768901023840202,1.2439882048569657
193,17.95343518257141,0.1849518651528442,1.2298801200115237
