,Time,X_pix,Y_pix,R_pix,X_m,Y_m,Displacement,Velocity,Reps
0,0.0,766.6162719726562,465.1511688232422,8.202923774719238,0.0,1.1881652090707076,0.0,0.0,0
1,0.30863285064697266,773.843505859375,494.7748107910156,10.542585372924805,0.029132122534766387,1.3075745960170924,0.12291168477525682,0.39824563,0
2,0.37131476402282715,772.5,489.0,11.236202239990234,0.023716609776363216,1.2842970187010858,0.0238992339655289,0.38127798,0
3,0.4693794250488281,770.7894897460938,491.0,10.642210960388184,0.016821745836046623,1.2923587814699098,0.010608070875341779,0.10817425,0
4,0.5683209896087646,769.5,492.5,10.12432861328125,0.011623965623127137,1.2984051035465278,0.00797338885267839,0.08058685,0
5,0.6623303890228271,769.31640625,492.01206970214844,10.134186744689941,0.010883920993957743,1.2964383143920273,0.0021014103910049187,0.022353195,0
6,0.7414233684539795,769.5,492.5,10.12432861328125,0.011623965623127137,1.2984051035465278,0.0021014103910049187,0.026568862,0
7,0.8383526802062988,769.5,491.8076934814453,10.384002685546875,0.011623965623127137,1.2956144980885786,0.00279060545794918,0.028790109,0
8,0.9358363151550293,769.6531982421875,492.58935546875,9.949732780456543,0.012241489565685377,1.2987652848421076,0.0032107309114664763,0.0329361,0
9,1.0319299697875977,769.8884887695312,492.03956604003906,9.9351224899292,0.013189917772283788,1.29654914886857,0.0024105548565171967,0.025085473,0
10,1.1132640838623047,771.26318359375,491.0,10.52652359008789,0.01873114954847471,1.2923587814699098,0.006947260505639837,0.08541632,0
11,1.2034895420074463,770.6697998046875,491.9339599609375,11.101709365844727,0.016339289879330806,1.296123463290239,0.004460249083312977,0.049434487,0
12,1.3045132160186768,772.296142578125,492.8592224121094,10.764575958251953,0.02289488468945305,1.299853086480363,0.007542275018508193,0.07465849,0
13,1.3965554237365723,772.480224609375,491.04150390625,11.629904747009277,0.023636897522423428,1.2925260787929933,0.0073644840073875915,0.08001203,0
14,1.4757697582244873,772.5,493.5,11.85336971282959,0.023716609776363216,1.30243598493094,0.009910226723256149,0.12510648,0
15,1.574258804321289,773.8825073242188,493.3663635253906,10.22747802734375,0.02928933281336986,1.3018973121531585,0.005598697206378219,0.05684589,0
16,1.6699988842010498,773.5,494.0,10.735555648803711,0.027747491160775243,1.3044514256231459,0.0029834160452820732,0.031161621,0
17,1.7653734683990479,773.6666870117188,494.3333282470703,10.027822494506836,0.028419386733335623,1.3057950322491603,0.0015022391373866052,0.015750937,0
18,1.8465068340301514,773.7069091796875,493.5689697265625,10.295515060424805,0.02858151752144155,1.3027139937178287,0.0030853014154214576,0.03802753,0
19,1.9684138298034668,773.5,494.5,10.12432861328125,0.027747491160775243,1.3064668663153518,0.003844431388843622,0.031535774,0
20,2.0314340591430664,773.5,494.0,10.735555648803711,0.027747491160775243,1.3044514256231459,0.0020154406922059387,0.031980854,0
21,2.1010830402374268,775.61767578125,492.5,10.01399040222168,0.03628359104563606,1.2984051035465278,0.010460545487617724,0.1501895,0
22,2.182865858078003,776.868408203125,493.5,10.435575485229492,0.04132514508185257,1.30243598493094,0.006454864199601023,0.0789269,0
23,2.2851247787475586,777.26318359375,494.0,10.52652359008789,0.04291643785494687,1.3044514256231459,0.0025679201454682572,0.025111943,0
24,2.374014377593994,777.1842041015625,494.5,11.25175952911377,0.04259808089013796,1.3064668663153518,0.0020404294501015947,0.022954648,0
25,2.4693007469177246,778.7000122070312,495.0,9.689775466918945,0.04870812356481281,1.308482307007558,0.006433865297793249,0.06752136,0
26,2.551081895828247,777.5,496.0,10.259242057800293,0.04387101669842335,1.3125131883919698,0.0062964758057242,0.076991774,0
27,2.645829439163208,777.8825073242188,496.3663635253906,10.22747802734375,0.045412858351017965,1.3139899563063946,0.0021349752117413696,0.022533305,0
28,2.746248483657837,778.5,497.27777099609375,10.524909973144531,0.047901898082835376,1.317663731713666,0.004437560650812249,0.04419043,0
29,2.8375377655029297,777.5,496.0,9.962529182434082,0.04387101669842335,1.3125131883919698,0.006540344122740587,0.071644165,0
30,2.929293394088745,778.2821655273438,495.85643005371094,10.752098083496094,0.04702383316212209,1.3119344749681123,0.003205489179629637,0.03493507,0
31,3.0337908267974854,778.5,494.6538391113281,10.041585922241211,0.047901898082835376,1.307086973525399,0.004926384906003154,0.047143597,0
32,3.1153993606567383,777.5,492.5,10.12432861328125,0.04387101669842335,1.2984051035465278,0.009571983653622834,0.11729146,0
33,3.210256338119507,778.0999755859375,493.0500030517578,11.292261123657227,0.046289447118880514,1.3006221006092282,0.0032808355147149327,0.034587182,0
34,3.2883460521698,777.9473876953125,493.15789794921875,9.306351661682129,0.04567438343107351,1.3010570121428766,0.0007532936891804839,0.009646516,0
35,3.384517192840576,779.5,495.0,10.30786418914795,0.051932779467247406,1.308482307007558,0.009710948706128585,0.10097571,0
36,3.4877235889434814,779.2510375976562,493.76939392089844,10.627437591552734,0.05092924155422148,1.3035218798717632,0.005060921429187567,0.049036898,0
37,3.5685534477233887,779.0,493.0,11.180439949035645,0.04991733877504139,1.3004205442387338,0.003262243084629071,0.04035938,0
38,3.6573164463043213,780.11767578125,492.0,10.719040870666504,0.05442255727549018,1.296389662854322,0.006045245939743417,0.068105474,0
39,3.7591588497161865,779.661865234375,494.4248504638672,9.999222755432129,0.05258523902727308,1.306163947449107,0.009945470209350755,0.0976555,0
40,3.853950023651123,780.5,493.5,9.617792129516602,0.05596366085165943,1.30243598493094,0.005031047461547934,0.053075064,0
41,3.9343135356903076,779.5,494.0,11.543496131896973,0.051932779467247406,1.3044514256231459,0.00450666239239184,0.056078464,0
